"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"466","@tehreedy @AirlineReporter @AmericanAir @ViaSatInc @Gogo You’ll be happy to know some media can be stored and serve… https://t.co/DMwOh078us",FALSE,0,"tehreedy",2017-10-07 22:57:33,TRUE,"916798932952473600","916799688619253760","19903171","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","user47",0,FALSE,FALSE,NA,NA
"467","@user47 @AirlineReporter @AmericanAir @ViaSatInc @Gogo It was therefore a rather long PHX-EWR flight as I didn't ha… https://t.co/MATV380qqP",FALSE,0,"user47",2017-10-07 22:56:27,TRUE,"916797046035767296","916799409165361152","15906000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tehreedy",0,FALSE,FALSE,NA,NA
"468","@IndoBushPilot @AirlineReporter @AmericanAir A fight happens I guess, yep you are right.. well my daughter was happ… https://t.co/tJaOa4IHVD",FALSE,0,"IndoBushPilot",2017-10-07 22:56:13,TRUE,"916798626839519232","916799350797492224","263547393","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","PhilFlying",0,FALSE,FALSE,NA,NA
"469","@AmericanAir GUYS WE ARE BACK ON THE PLANE! but if I learned from my mistakes that means we're going to sit here for 2 more hours. #AA",FALSE,0,"AmericanAir",2017-10-07 22:56:00,FALSE,NA,"916799299173920768","22536055","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","JaqAss69",0,FALSE,FALSE,NA,NA
"470","Flight 3112 @AmericanAir ORD to CHO mid air re-routed back to ORD, what’s status?",FALSE,0,NA,2017-10-07 22:55:59,FALSE,NA,"916799294954442752",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Sarah549723",0,FALSE,FALSE,NA,NA
"471","@user47 @chippy194 @AirlineReporter @AmericanAir I didn't say it was a bad idea, only commented on the presumed fare impact.",FALSE,0,"user47",2017-10-07 22:55:41,FALSE,"916798692874735621","916799218005639173","15906000","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nbfowler",0,FALSE,FALSE,NA,NA
"472","A great time at Family Picnic day at @AmericanAir Tulsa Maintenance Base.  I’m never two-tired for a nosegear selfi… https://t.co/XH9bwMnvUz",FALSE,18,NA,2017-10-07 22:55:28,TRUE,NA,"916799164402601984",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jamesaydelott",0,FALSE,FALSE,NA,NA
"473","RT @AirlineReporter: And here’s the @AmericanAir #737mAAx flightdeck. We saved the best for last. And with that, we’re off to Wichita. ThAA…",FALSE,0,NA,2017-10-07 22:55:03,FALSE,NA,"916799059830112256",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","SamGuichelaar",5,TRUE,FALSE,NA,NA
"474","@sxpert1 @AirlineReporter @AmericanAir People will look at this and laugh, but you are completely right. No promise of security",FALSE,0,"sxpert1",2017-10-07 22:54:57,FALSE,"916796068934938624","916799032122499072","188063849","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","user47",0,FALSE,FALSE,NA,NA
"475","Departure has now pushed back more than 3hrs from the original time. Thanks @AmericanAir for making sure the start of my vacation is awful.",FALSE,0,NA,2017-10-07 22:54:34,FALSE,NA,"916798938413445121",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jessecraighead",0,FALSE,FALSE,NA,NA
"476","@user47 @AirlineReporter @AmericanAir @ViaSatInc @Gogo And I think in that case, it was an external antenna issue,… https://t.co/8Jrfh4Hm0g",FALSE,0,"user47",2017-10-07 22:54:33,TRUE,"916797046035767296","916798932952473600","15906000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tehreedy",0,FALSE,FALSE,NA,NA
"477","@user47 @AirlineReporter @AmericanAir @ViaSatInc @Gogo Sure. But I've been on planes when the onboard wifi didn't w… https://t.co/T64GI2XIkU",FALSE,0,"user47",2017-10-07 22:53:48,TRUE,"916797046035767296","916798741906120705","15906000","<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","tehreedy",0,FALSE,FALSE,NA,NA
"478","@nbfowler @chippy194 @AirlineReporter @AmericanAir Why carry IFE screens and deal w/ maintenance when pretty much e… https://t.co/2qLo2uqQVO",FALSE,0,"nbfowler",2017-10-07 22:53:36,TRUE,"916796345033269248","916798692874735621","19667694","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","user47",0,FALSE,FALSE,NA,NA
